78741.0    9004
78753.0    8685
78701.0    8357
78758.0    8005
78704.0    7120
78745.0    7008
78744.0    6365
78723.0    5783
78702.0    5277
78752.0    3878
78748.0    3557
78759.0    3126
78751.0    2758
78757.0    2334
78705.0    2303
78721.0    1944
78724.0    1878
78749.0    1829
78729.0    1809
78727.0    1804
78703.0    1620
78746.0    1418
78750.0    1398
78754.0    1337
78731.0    1205
78617.0    1023
78719.0     909
78717.0     903
78756.0     865
78722.0     834
78735.0     810
78747.0     754
78726.0     675
78613.0     505
78660.0     486
78739.0     311
78736.0     263
78725.0     197
78742.0     173
78730.0     157
78653.0     129
78728.0      76
78652.0      45
78712.0      13
78681.0      12
78732.0      10
78733.0       9
78737.0       7
78734.0       4
78610.0       4
78664.0       3
78738.0       3
78641.0       1
