Zip Code,HC02_EST_VC18,HC02_EST_VC17,HC01_EST_VC02,HC01_EST_VC20,HC01_EST_VC08,HC01_EST_VC24,HC01_EST_VC28,HC01_EST_VC32,HC01_VC03,HC01_VC03.1,HC01_VC04,HC03_VC04,HC01_VC09,HC03_VC09,HC03_VC12,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC03_VC89,HC01_VC120,HC03_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC03_VC161,HC03_VC171
78701,75.3,95.8,528,2701,6570,1168,1808,893,7137,7137,5536,77.6,1601,22.4,2.5,4570,4570,189,4.1,70,1.5,248,5.4,195,4.3,369,8.1,630,13.8,535,11.7,794,17.4,424,9.3,1116,24.4,102112,166695,4110,89.9,3492,3492,85071,120606,78021,91610,76106,1,9.4
78702,35.9,78.1,1759,5684,16244,3708,4370,2482,18409,18409,12994,70.6,5415,29.4,6.5,8738,8738,1072,12.3,532,6.1,1101,12.6,771,8.8,1023,11.7,1544,17.7,847,9.7,1049,12,495,5.7,304,3.5,48174,65635,7272,83.2,4505,4505,43795,60919,29484,40738,37091,22.5,24.8
78703,84.6,98.4,915,4877,15824,3451,5561,1935,16997,16997,12945,76.2,4052,23.8,3.0,9998,9998,554,5.5,196,2,629,6.3,561,5.6,982,9.8,1395,14,943,9.4,1477,14.8,759,7.6,2502,25,92746,159868,8944,89.5,5386,5386,58861,92640,56187,100238,62617,2.4,7.3
78704,62.3,93.7,4750,14551,34620,7377,9596,3096,39806,39806,31761,79.8,8045,20.2,3.6,22701,22701,1743,7.7,865,3.8,1715,7.6,2230,9.8,2739,12.1,4316,19,2714,12,3169,14,1378,6.1,1832,8.1,62283,85208,20352,89.7,15187,15187,52594,66571,37366,53928,46465,9.9,16.3
78705,66.7,96.6,24954,3901,6641,1039,1265,436,31761,31761,13740,43.3,18021,56.7,9.3,8307,8307,3349,40.3,1037,12.5,997,12,470,5.7,672,8.1,790,9.5,360,4.3,258,3.1,138,1.7,236,2.8,13349,38820,6942,83.6,7141,7141,11724,29089,5914,33953,35255,28.7,64.9
78712,100.0,100.0,838,10,10,0,0,0,848,848,306,36.1,542,63.9,22.2,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,0,-,0,0,-,-,2647,-,-,-,-
78721,20.9,70.3,1142,2542,8221,1986,2507,1186,9729,9729,6464,66.4,3265,33.6,10.8,4126,4126,684,16.6,337,8.2,432,10.5,496,12,567,13.7,712,17.3,554,13.4,273,6.6,50,1.2,21,0.5,38301,46821,3288,79.7,1654,1654,25791,37748,25314,32057,32107,22.7,29.2
78722,64.3,95.4,571,2403,5587,1212,1230,742,6195,6195,5001,80.7,1194,19.3,3.7,3082,3082,128,4.2,123,4,303,9.8,204,6.6,481,15.6,626,20.3,322,10.4,615,20,145,4.7,135,4.4,63559,81117,2829,91.8,1684,1684,50585,63243,34618,44393,44097,12.9,14
78723,36.9,81.3,2919,6626,21523,5189,6914,2794,25075,25075,17695,70.6,7380,29.4,6.2,12292,12292,1257,10.2,780,6.3,1612,13.1,1453,11.8,1700,13.8,1904,15.5,1328,10.8,1226,10,536,4.4,496,4,42462,63862,10229,83.2,5752,5752,35650,51289,27378,34541,40673,21.3,26.9
78727,54.9,94.2,2267,6555,21677,4991,7556,2575,24559,24559,18508,75.4,6051,24.6,3.8,12900,12900,441,3.4,114,0.9,757,5.9,1088,8.4,1390,10.8,2873,22.3,2250,17.4,2284,17.7,1064,8.2,639,5,72535,86181,11737,91,5754,5754,62416,72614,42387,60980,46209,4.3,6.2
