Zip Code,HC03_VC161,Poverty Level Rank 2
78701,1.0,27.0
78702,22.5,6.0
78703,2.4,23.0
78704,9.9,12.0
78705,28.7,1.0
78721,22.7,5.0
78722,12.9,11.0
78723,21.3,8.0
78727,4.3,17.0
78730,2.0,25.0
78731,3.4,20.0
78732,0.0,28.0
78733,1.6,26.0
78735,4.2,18.0
78741,28.3,2.0
78742,14.6,10.0
78744,24.7,4.0
78745,9.3,13.0
78746,2.7,21.0
78749,3.7,19.0
78750,4.8,16.0
78751,8.2,15.0
78752,27.0,3.0
78753,22.4,7.0
78756,2.1,24.0
78757,9.0,14.0
78758,20.2,9.0
78759,2.6,22.0
