Zip Code,Total Population (18+)
78701,7098
78702,18003
78703,16739
78704,39370
78705,31595
78721,9363
78722,6158
78723,24442
78727,23944
78730,6855
78731,21915
78732,10620
78733,6144
78735,13116
78741,42237
78742,613
78744,32628
78745,50423
78746,20723
78749,28895
78750,22894
78751,13205
78752,14975
78753,40862
78756,7523
78757,19211
78758,36167
78759,33961
