Zip Code,Less than HS Graduate %,HS Graduate %,Some College %,Bachelors Degree or Higher %,Total Population (18+)
78701,0.04212454212454213,0.06875176105945337,0.15271907579599886,0.7364046210200056,7098
78702,0.21340887629839472,0.22218519135699605,0.22101871910237184,0.3433872132422374,18003
78703,0.0183404026524882,0.035127546448413885,0.11810741382400382,0.8284246370750941,16739
78704,0.06289052578105156,0.10835661671323342,0.24828549657099314,0.5804673609347218,39370
78705,0.009590125019781612,0.09729387561322994,0.6957746478873239,0.1973413514796645,31595
78721,0.2906119833386735,0.2887963259639005,0.22129659297233792,0.1992950977250881,9363
78722,0.04481974667099708,0.13397206885352386,0.20656057161416044,0.6146476128613186,6158
78723,0.18390475411177482,0.2219949267654038,0.24993863022665902,0.34416168889616233,24442
78727,0.059346809221516875,0.1536919478783829,0.2786501837621116,0.5083110591379887,23944
78730,0.022319474835886213,0.07862873814733772,0.22596644784828593,0.6730853391684901,6855
78731,0.022906684919005247,0.07314624686287931,0.183481633584303,0.7204654346338124,21915
78732,0.028436911487758947,0.082015065913371,0.19171374764595103,0.697834274952919,10620
78733,0.023111979166666668,0.08251953125,0.16927083333333334,0.72509765625,6144
78735,0.04483074107959744,0.11139066788655078,0.22247636474534918,0.6213022262885026,13116
78741,0.20612259393422827,0.19156190070317494,0.3557070814688543,0.24660842389374246,42237
78742,0.3474714518760196,0.22512234910277323,0.3425774877650897,0.08482871125611746,613
78744,0.31374892730170406,0.29768910138531324,0.24733357852151527,0.14122839279146746,32628
78745,0.12837395632945284,0.20312159133728655,0.30577315907423197,0.36273129325902864,50423
78746,0.017082468754523957,0.054770062249674276,0.1578439415142595,0.7703035274815423,20723
78749,0.026925073542135317,0.10406644748226336,0.27658764492126664,0.5924208340543347,28895
78750,0.049576308203022626,0.1558923735476544,0.26081069275792784,0.5337206254913951,22894
78751,0.028701249526694433,0.08504354411207876,0.2437712987504733,0.6424839076107535,13205
78752,0.26590984974958265,0.22530884808013354,0.2323873121869783,0.2763939899833055,14975
78753,0.2725025696245901,0.2955557730899124,0.25977680974988987,0.17216484753560765,40862
78756,0.03602286321946032,0.09956134520802871,0.16602419247640568,0.6983915990961053,7523
78757,0.07969392535526522,0.14814429233251783,0.23939409713185153,0.5327676851803654,19211
78758,0.17939005170459257,0.24583183565128433,0.2726242154450189,0.3021538971991042,36167
78759,0.025647065751891875,0.09481464032272312,0.23733105621153677,0.6422072377138482,33961
