Zip Code,HC03_VC171,Poverty Level Rank
78701,9.4,17.0
78702,24.8,8.0
78703,7.3,21.0
78704,16.3,12.0
78705,64.9,1.0
78721,29.2,3.5
78722,14.0,14.0
78723,26.9,5.0
78727,6.2,22.0
78730,4.0,26.0
78731,8.9,18.0
78732,1.1,28.0
78733,2.2,27.0
78735,8.0,19.0
78741,34.9,2.0
78742,26.6,6.0
78744,26.4,7.0
78745,13.4,15.0
78746,4.5,25.0
78749,5.0,24.0
78750,7.4,20.0
78751,21.2,11.0
78752,29.2,3.5
78753,24.4,9.0
78756,9.9,16.0
78757,15.2,13.0
78758,22.7,10.0
78759,5.7,23.0
